Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
0 0.1 1.45901 -1 6441 17094 67892 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.01 1.88617 -1 1427 17094 11635 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.001 2.38092 -1 294 17094 1899 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.0001 2.68715 -1 65 17094 372 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-05 4.11932 0.00329598 30 17094 112 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-06 3.12789 0.277228 12 17094 59 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-07 3.13853 0.227723 10 17094 49 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-08 2.92929 0.39604 8 17094 42 262885 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.1 1.40528 -1 10936 30133 67892 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.01 1.77257 -1 2364 30133 11635 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.001 2.03977 -1 444 30133 1899 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.0001 2.15759 -1 92 30133 372 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-05 2.57051 0.29703 33 30133 112 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-06 2.51374 0.544554 17 30133 59 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-07 2.49262 0.475248 14 30133 49 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-08 2.07718 0.792079 10 30133 42 262885 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
2 0.1 1.45342 -1 5919 15769 67892 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.01 1.95008 -1 1361 15769 11635 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.001 2.36151 -1 269 15769 1899 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.0001 3.31627 -1 74 15769 372 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-05 5.35854 2e-05 36 15769 112 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-06 4.52095 0.0342466 16 15769 59 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-07 4.42292 0.0492611 13 15769 49 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-08 3.96929 0.19802 10 15769 42 262885 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
3 0.1 1.35151 -1 16152 46276 67892 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.01 1.68203 -1 3445 46276 11635 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.001 2.00728 -1 671 46276 1899 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.0001 2.39754 -1 157 46276 372 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-05 3.34762 0.000114515 66 46276 112 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-06 3.75511 0.00017799 39 46276 59 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-07 3.70991 0.000732011 32 46276 49 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-08 3.7872 0.0045977 28 46276 42 262885 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
4 0.1 1.51712 -1 1387 3540 67892 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.01 2.20199 -1 345 3540 11635 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.001 3.75413 -1 96 3540 1899 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.0001 4.59142 -1 23 3540 372 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-05 10.6088 0 16 3540 112 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-06 8.81066 0.0101215 7 3540 59 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-07 4.54661 0.346535 3 3540 49 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-08 1.76813 0.811881 1 3540 42 262885 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
5 0.1 1.45069 -1 5501 14683 67892 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.01 1.92967 -1 1254 14683 11635 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.001 2.50789 -1 266 14683 1899 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.0001 3.03214 -1 63 14683 372 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-05 4.47601 0.00327011 28 14683 112 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-06 3.6415 0.158416 12 14683 59 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-07 3.2885 0.267327 9 14683 49 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-08 2.98401 0.49505 7 14683 42 262885 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.1 1.42849 -1 7948 21544 67892 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.01 1.83846 -1 1753 21544 11635 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.001 2.34535 -1 365 21544 1899 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.0001 2.88655 -1 88 21544 372 262885 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
