Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Category 
0 0.1 1.09691 -1 21058 183402 158441 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 0.01 1.33004 -1 2880 183402 17871 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 0.001 1.79312 -1 521 183402 2398 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 0.0001 2.87149 -1 151 183402 434 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 1e-05 4.40169 0 80 183402 150 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 1e-06 4.79576 0 43 183402 74 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 1e-07 4.86725 0 23 183402 39 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
0 1e-08 5.28203 2e-05 16 183402 25 1513647 blueprint_mono_K27AC_log2rpm_fdr0.05 mono_K27AC blueprint all all2
1 0.1 1.07632 -1 34939 310116 158441 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 0.01 1.2446 -1 4557 310116 17871 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 0.001 1.5754 -1 774 310116 2398 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 0.0001 2.29425 -1 204 310116 434 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 1e-05 3.25394 0 100 310116 150 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 1e-06 3.6277 0 55 310116 74 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 1e-07 3.62939 0 29 310116 39 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
1 1e-08 3.90472 0 20 310116 25 1513647 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono_K4ME1 blueprint all all2
2 0.1 1.13184 -1 19907 168027 158441 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 0.01 1.44771 -1 2872 168027 17871 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 0.001 2.05111 -1 546 168027 2398 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 0.0001 3.6324 -1 175 168027 434 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 1e-05 5.70529 0 95 168027 150 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 1e-06 5.96499 0 49 168027 74 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 1e-07 6.00557 0 26 168027 39 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
2 1e-08 6.84635 0 19 168027 25 1513647 blueprint_mono_gene_nor_combat_fdr0.05 mono_gene blueprint all all2
3 0.1 1.0632 -1 50242 451450 158441 1513647 blueprint_mono_meth_M_fdr0.05 mono blueprint_meth all all2
3 0.01 1.19323 -1 6360 451450 17871 1513647 blueprint_mono_meth_M_fdr0.05 mono blueprint_meth all all2
3 0.001 1.43454 -1 1026 451450 2398 1513647 blueprint_mono_meth_M_fdr0.05 mono blueprint_meth all all2
3 0.0001 1.86957 -1 242 451450 434 1513647 blueprint_mono_meth_M_fdr0.05 mono blueprint_meth all all2
