Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
0 0.1 2.48967 -1 7653 16622 260419 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.01 5.73279 -1 2658 16622 39280 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.001 11.0489 -1 963 16622 7384 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 0.0001 18.3666 -1 426 16622 1965 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-05 24.3087 0 202 16622 704 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-06 28.6375 0 96 16622 284 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-07 35.2559 0 67 16622 161 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
0 1e-08 42.8356 0 45 16622 89 1408205 blueprint_mono_K27AC_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.1 2.38784 -1 13096 29657 260419 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.01 5.15206 -1 4262 29657 39280 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.001 9.51076 -1 1479 29657 7384 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 0.0001 14.8369 -1 614 29657 1965 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-05 18.3457 0 272 29657 704 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-06 20.732 0 124 29657 284 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-07 24.1839 0 82 29657 161 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
1 1e-08 27.2094 0 51 29657 89 1408205 blueprint_mono_K4ME1_log2rpm_fdr0.05 mono aceQTL blueprint1 blueprint
2 0.1 2.49988 -1 7131 15425 260419 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.01 5.78023 -1 2487 15425 39280 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.001 11.0779 -1 896 15425 7384 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 0.0001 18.0264 -1 388 15425 1965 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-05 23.4718 0 181 15425 704 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-06 30.8598 0 96 15425 284 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-07 35.1566 0 62 15425 161 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
2 1e-08 43.0824 0 42 15425 89 1408205 blueprint_mono_gene_nor_combat_fdr0.05 mono eQTL blueprint1 blueprint
3 0.1 2.30949 -1 19812 46388 260419 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.01 4.8372 -1 6259 46388 39280 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.001 8.4444 -1 2054 46388 7384 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 0.0001 12.39 -1 802 46388 1965 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-05 14.4886 0 336 46388 704 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-06 16.9957 0 159 46388 284 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-07 18.4782 0 98 46388 161 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
3 1e-08 21.1476 0 62 46388 89 1408205 blueprint_mono_meth_M_fdr0.05 mono mQTL blueprint1 blueprint
4 0.1 2.68104 -1 1654 3336 260419 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.01 6.55538 -1 610 3336 39280 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.001 13.4915 -1 236 3336 7384 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 0.0001 26.423 -1 123 3336 1965 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-05 36.5761 0 61 3336 704 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-06 49.0496 0 33 3336 284 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-07 57.6815 0 22 3336 161 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
4 1e-08 71.1445 1e-05 15 3336 89 1408205 blueprint_mono_psi_fdr0.05 mono psiQTL blueprint1 blueprint
5 0.1 2.47969 -1 6497 14168 260419 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.01 5.73131 -1 2265 14168 39280 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.001 11.5358 -1 857 14168 7384 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 0.0001 18.6647 -1 369 14168 1965 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-05 23.4365 0 166 14168 704 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-06 29.398 0 84 14168 284 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-07 34.5716 0 56 14168 161 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
5 1e-08 41.3208 0 37 14168 89 1408205 blueprint_neut_K27AC_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.1 2.42564 -1 9477 21127 260419 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.01 5.32997 -1 3141 21127 39280 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.001 10.2365 -1 1134 21127 7384 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 0.0001 16.7908 -1 495 21127 1965 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-05 20.5454 0 217 21127 704 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-06 24.1739 0 103 21127 284 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-07 28.9801 0 70 21127 161 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
6 1e-08 33.7016 0 45 21127 89 1408205 blueprint_neut_K4ME1_log2rpm_fdr0.05 neut aceQTL blueprint1 blueprint
7 0.1 2.52072 -1 6260 13429 260419 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.01 5.96128 -1 2233 13429 39280 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.001 11.6735 -1 822 13429 7384 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 0.0001 19.5851 -1 367 13429 1965 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-05 25.9178 0 174 13429 704 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-06 29.5389 0 80 13429 284 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-07 34.5201 0 53 13429 161 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
7 1e-08 42.4165 0 36 13429 89 1408205 blueprint_neut_gene_nor_combat_fdr0.05 neut eQTL blueprint1 blueprint
8 0.1 2.2942 -1 19960 47046 260419 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 0.01 4.82212 -1 6328 47046 39280 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 0.001 8.3871 -1 2069 47046 7384 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 0.0001 12.3843 -1 813 47046 1965 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-05 14.456 0 340 47046 704 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-06 16.5472 0 157 47046 284 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-07 17.662 0 95 47046 161 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
8 1e-08 19.5066 0 58 47046 89 1408205 blueprint_neut_meth_M_fdr0.05 neut mQTL blueprint1 blueprint
9 0.1 2.52955 -1 1278 2732 260419 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.01 6.0888 -1 464 2732 39280 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.001 12.2161 -1 175 2732 7384 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 0.0001 25.1822 -1 96 2732 1965 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-05 38.0729 0 52 2732 704 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-06 52.6338 0 29 2732 284 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-07 70.4339 0 22 2732 161 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
9 1e-08 86.8733 0 15 2732 89 1408205 blueprint_neut_psi_fdr0.05 neut psiQTL blueprint1 blueprint
10 0.1 2.53337 -1 5346 11411 260419 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.01 5.90962 -1 1881 11411 39280 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.001 11.7157 -1 701 11411 7384 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 0.0001 19.8457 -1 316 11411 1965 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-05 24.8919 0 142 11411 704 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-06 30.8519 0 71 11411 284 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-07 37.5589 0 49 11411 161 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
10 1e-08 45.7579 0 33 11411 89 1408205 blueprint_tcel_K27AC_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.1 2.58623 -1 4105 8583 260419 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.01 6.04399 -1 1447 8583 39280 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.001 12.0652 -1 543 8583 7384 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 0.0001 20.2895 -1 243 8583 1965 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-05 24.4705 0 105 8583 704 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
11 1e-06 31.1962 0 54 8583 284 1408205 blueprint_tcel_K4ME1_log2rpm_fdr0.05 tcel aceQTL blueprint1 blueprint
