# MEAN_SAMPLE_SIZE = 36692
# TOTAL_GENES = 14940
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                        TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_Aqp4                     COVAR   14940    0.0082037     0.015407    0.0064258      0.10087
CR_Lhx5                        COVAR   14940  -0.00048554   -0.0010298    0.0073004      0.52651
Endo_Ctla2a                    COVAR   14940   -0.0034493   -0.0066068    0.0058091      0.72366
Endo_Cytl1                     COVAR   14940   0.00043665   0.00082327    0.0051832      0.46643
L2.3_IT_ALM_Sla                COVAR   14940    0.0039423     0.012105     0.005698      0.24451
L2.3_IT_VISp_Adamts2           COVAR   14940    0.0093099     0.025581      0.01097      0.19805
L2.3_IT_VISp_Agmat             COVAR   14940    0.0086405     0.023823      0.01103       0.2167
L2.3_IT_VISp_Rrad              COVAR   14940    0.0047466     0.013063    0.0093397      0.30565
L4_IT_VISp_Rspo1               COVAR   14940     0.018421     0.048804     0.010331     0.037302
L5_IT_ALM_Cpa6_Gpr88           COVAR   14940     0.011225     0.034165    0.0062179     0.035524
L5_IT_ALM_Npw                  COVAR   14940     0.016093     0.049013    0.0056804     0.002308
L5_IT_VISp_Batf3               COVAR   14940   -0.0044341    -0.012285     0.012539      0.63819
L5_IT_VISp_Col27a1             COVAR   14940   -0.0012137   -0.0033704     0.012033      0.54017
L5_IT_VISp_Col6a1_Fezf2        COVAR   14940   -0.0082928    -0.022852     0.012243      0.75089
L5_IT_VISp_Hsd11b1_Endou       COVAR   14940     0.016173     0.044809     0.011851     0.086186
L5_IT_VISp_Whrn_Tox2           COVAR   14940     0.012777     0.035952     0.011495      0.13319
L5_NP_ALM_Trhr_Nefl            COVAR   14940    0.0054572     0.015361    0.0086102      0.26311
L5_NP_VISp_Trhr_Cpne7          COVAR   14940    -0.013629    -0.035564     0.011611      0.87973
L5_NP_VISp_Trhr_Met            COVAR   14940   -0.0048839    -0.012995     0.011521      0.66418
L5_PT_VISp_C1ql2_Cdh13         COVAR   14940    0.0062605     0.017668     0.011577      0.29434
L5_PT_VISp_C1ql2_Ptgfr         COVAR   14940     0.010849     0.030754     0.011062      0.16337
L5_PT_VISp_Chrna6              COVAR   14940    0.0011587    0.0032325     0.011836      0.46101
L5_PT_VISp_Krt80               COVAR   14940    0.0062729     0.017602     0.011921      0.29938
L5_PT_VISp_Lgr5                COVAR   14940    0.0047784       0.0135     0.010781       0.3288
L6_CT_ALM_Cpa6                 COVAR   14940   0.00093256    0.0029755    0.0047385      0.42199
L6_CT_ALM_Nxph2_Sla            COVAR   14940   -0.0094176    -0.026372     0.010039      0.82589
L6_CT_VISp_Ctxn3_Brinp3        COVAR   14940  -6.3561e-05  -0.00017662      0.01125      0.50225
L6_CT_VISp_Ctxn3_Sla           COVAR   14940   -0.0043935    -0.012164     0.011737      0.64591
L6_CT_VISp_Gpr139              COVAR   14940   -0.0013356   -0.0037165     0.011069      0.54802
L6_CT_VISp_Krt80_Sla           COVAR   14940    -0.012736    -0.035325     0.012186        0.852
