# MEAN_SAMPLE_SIZE = 39955
# TOTAL_GENES = 14974
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE               TYPE  NGENES         BETA     BETA_STD           SE            P
Ependymal             COVAR   14974   -0.0023993   -0.0062923    0.0064944       0.6441
Neuron                COVAR   14974     0.026143      0.06975    0.0074356   0.00021973
Neurogenesis          COVAR   14974   -0.0088166    -0.024126     0.007287      0.88683
Oligodendrocyte       COVAR   14974     0.022775     0.060103    0.0083132    0.0030797
Astrocyte             COVAR   14974     0.002266    0.0058954    0.0090093      0.40071
Polydendrocyte        COVAR   14974     0.010453     0.027623    0.0086603      0.11373
Macrophage            COVAR   14974   -0.0023012   -0.0070133    0.0043528      0.70148
Microglia             COVAR   14974    0.0098695     0.026489    0.0072571      0.08693
Endothelial_stalk     COVAR   14974   -0.0084927    -0.023078    0.0074441      0.87303
Mural                 COVAR   14974    -0.022064    -0.058866    0.0073374      0.99868
Endothelial_tip       COVAR   14974    -0.011586    -0.032457    0.0068164       0.9554
