# MEAN_SAMPLE_SIZE = 39955
# TOTAL_GENES = 14974
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
CB.Neuron_Slc17a7_Gabra6.1_1         COVAR   14974     -0.00254   -0.0071509    0.0080607      0.62366 CB.Neuron_Slc17a7_Gabra6.1_1
CB.Endothelial_Stalk_Flt1_Mg...      COVAR   14974   -0.0072046    -0.021379    0.0044834      0.94596 CB.Endothelial_Stalk_Flt1_Mgp.10_1
CB.Endothelial_Stalk_Flt1_Ca...      COVAR   14974    -0.008182    -0.024169    0.0045495      0.96393 CB.Endothelial_Stalk_Flt1_Car4.10_2
CB.Endothelial_Stalk_Flt1_Lr...      COVAR   14974    -0.013649    -0.040583    0.0045756      0.99857 CB.Endothelial_Stalk_Flt1_Lrg1.10_3
CB.Endothelial_Tip_Dcn_Nnat....      COVAR   14974   -0.0092772     -0.02678    0.0042307      0.98583 CB.Endothelial_Tip_Dcn_Nnat.11_1
CB.Endothelial_Tip_Dcn_Apod....      COVAR   14974   -0.0091405    -0.027028    0.0038339      0.99143 CB.Endothelial_Tip_Dcn_Apod.11_2
CB.Mural_Acta2Rgs5_Acta2.11_3        COVAR   14974    -0.011135    -0.033759    0.0040109      0.99725 CB.Mural_Acta2Rgs5_Acta2.11_3
CB.Mural_Acta2Rgs5_Kcnj8.11_4        COVAR   14974   -0.0092731    -0.029317    0.0033696      0.99703 CB.Mural_Acta2Rgs5_Kcnj8.11_4
CB.Mural_Acta2Rgs5_Rgs5.11_5         COVAR   14974   -0.0061587    -0.019242    0.0033538      0.96684 CB.Mural_Acta2Rgs5_Rgs5.11_5
CB.Neuron_Gad1Gad2_Pcp2.2_1          COVAR   14974    0.0023409    0.0066648    0.0062731      0.35451 CB.Neuron_Gad1Gad2_Pcp2.2_1
CB.Neuron_Gad1Gad2_Pvalb-Nef...      COVAR   14974     0.011718     0.033214    0.0072172     0.052237 CB.Neuron_Gad1Gad2_Pvalb-Nefh.3_1
CB.Neuron_Gad1Gad2_Pvalb-Rab...      COVAR   14974    0.0083374     0.024235    0.0067713      0.10912 CB.Neuron_Gad1Gad2_Pvalb-Rab3b.3_2
CB.Neuron_Gad1Gad2_Pvalb-Cad...      COVAR   14974    0.0095956     0.028687    0.0058806      0.05138 CB.Neuron_Gad1Gad2_Pvalb-Cadm1.3_3
CB.Neuron_Gad1Gad2_Pvalb-Chr...      COVAR   14974    0.0033722     0.010023    0.0060214      0.28774 CB.Neuron_Gad1Gad2_Pvalb-Chrm2.3_4
CB.Neuron_Slc17a6_Sln.4_1            COVAR   14974     -0.00273   -0.0080229    0.0061222      0.67217 CB.Neuron_Slc17a6_Sln.4_1
CB.Neuron_Gad1Gad2_Lgi2.4_2          COVAR   14974    0.0049333     0.014395    0.0063723      0.21942 CB.Neuron_Gad1Gad2_Lgi2.4_2
CB.Neuron_Slc17a6_Nrgn.4_3           COVAR   14974    0.0014108    0.0043732    0.0050855      0.39073 CB.Neuron_Slc17a6_Nrgn.4_3
CB.Microglia_C1qb_Mrc1-Tmem1...      COVAR   14974   -0.0036212    -0.011157    0.0036958      0.83641 CB.Microglia_C1qb_Mrc1-Tmem119.5_1
CB.Oligodendroyte_Trf_Il33.6...      COVAR   14974  -0.00072063   -0.0019895    0.0060861      0.54713 CB.Oligodendroyte_Trf_Il33.6_1
CB.Oligodendrocyte_Trf_Klk6....      COVAR   14974   -0.0055815    -0.016196     0.004579      0.88855 CB.Oligodendrocyte_Trf_Klk6.6_2
CB.Polydendrocyte_Tnr_Tnr.6_3        COVAR   14974   -0.0033267    -0.010247    0.0038379      0.80697 CB.Polydendrocyte_Tnr_Tnr.6_3
CB.Astrocyte_Gja_Slc1a3.7_1          COVAR   14974   -0.0094865    -0.025869    0.0062027      0.93691 CB.Astrocyte_Gja_Slc1a3.7_1
CB.Gja1_Gfap.8_1                     COVAR   14974  -0.00071154   -0.0022115    0.0037545      0.57516 CB.Gja1_Gfap.8_1
CB.Gja1_Htra1.8_2                    COVAR   14974    -0.005414    -0.015374    0.0053734      0.84316 CB.Gja1_Htra1.8_2
CB.Choroid_Plexus_Ttr.9_1            COVAR   14974    -0.008205    -0.022722    0.0046037      0.96263 CB.Choroid_Plexus_Ttr.9_1
FC.Neuron_Gad1Gad2_Cplx3.1_1         COVAR   14974     0.025011     0.068727    0.0097718    0.0052456 FC.Neuron_Gad1Gad2_Cplx3.1_1
FC.Neuron_Gad1Gad2-Slc17a8_S...      COVAR   14974     0.018276     0.050637    0.0089766     0.020884 FC.Neuron_Gad1Gad2-Slc17a8_Synpr-Sncg-Yjefn3.1_10
FC.Neuron_Gad1Gad2_Synpr-Snc...      COVAR   14974     0.016826      0.04693    0.0088179     0.028198 FC.Neuron_Gad1Gad2_Synpr-Sncg.1_11
FC.Neuron_Gad1Gad2_Cplx3-Rel...      COVAR   14974     0.026438     0.073023    0.0099591    0.0039743 FC.Neuron_Gad1Gad2_Cplx3-Reln.1_2
FC.Neuron_Gad1Gad2_Synpr-Nna...      COVAR   14974    0.0017882    0.0051914    0.0073043       0.4033 FC.Neuron_Gad1Gad2_Synpr-Nnat.1_3
FC.Neuron_Gad1Gad2_Synpr-Cri...      COVAR   14974     0.015534     0.043472    0.0086612     0.036459 FC.Neuron_Gad1Gad2_Synpr-Crispld2.1_4
FC.Neuron_Gad1Gad2-Chat_Synp...      COVAR   14974     0.011448     0.031512    0.0096959      0.11886 FC.Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.1_5
FC.Neuron_Gad1Gad2_Synpr-Pcd...      COVAR   14974     0.020756     0.057183    0.0097829     0.016942 FC.Neuron_Gad1Gad2_Synpr-Pcdh11x.1_6
FC.Neuron_Gad1Gad2_Synpr-Dpy...      COVAR   14974     0.015267     0.043488     0.008022     0.028522 FC.Neuron_Gad1Gad2_Synpr-Dpy19l1.1_7
FC.Neuron_Gad1Gad2_Cplx3-Dpy...      COVAR   14974    0.0069607     0.020552    0.0064758      0.14122 FC.Neuron_Gad1Gad2_Cplx3-Dpy19l1.1_8
FC.Neuron_Gad1Gad2_Cplx3-Cri...      COVAR   14974     0.017486     0.049975    0.0079099     0.013536 FC.Neuron_Gad1Gad2_Cplx3-Crim1.1_9
