# MEAN_SAMPLE_SIZE = 14515
# TOTAL_GENES = 14713
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro        COVAR   14713      0.21615     0.041566      0.10608     0.020802
EC           COVAR   14713     0.057359     0.010441     0.095617       0.2743
Ex1          COVAR   14713     -0.14734    -0.033397      0.11015      0.90949
Ex10         COVAR   14713     0.067837     0.015735      0.15752      0.33336
Ex11         COVAR   14713     -0.28136    -0.059374      0.18103      0.93993
Ex12         COVAR   14713      -0.1009    -0.022346      0.16079      0.73484
Ex13         COVAR   14713     0.013205    0.0028529       0.1543       0.4659
Ex14         COVAR   14713     -0.20615    -0.044418      0.14829      0.91775
Ex15         COVAR   14713     -0.28173    -0.059343      0.15211      0.96799
Ex16         COVAR   14713     -0.18263    -0.038083      0.18097      0.84356
Ex17         COVAR   14713    -0.087967    -0.021041      0.12535      0.75858
Ex18         COVAR   14713    -0.056513    -0.011744      0.14061      0.65612
Ex19         COVAR   14713    -0.072173    -0.016309      0.21319      0.63252
Ex2          COVAR   14713    -0.042456   -0.0089909       0.1341      0.62422
Ex20         COVAR   14713      0.05144     0.011053       0.1902      0.39341
Ex21         COVAR   14713      0.16711     0.033819      0.18791      0.18693
Ex22         COVAR   14713       0.2258     0.049372      0.20923      0.14025
Ex23         COVAR   14713      0.15166     0.034004      0.17849      0.19776
Ex24         COVAR   14713      0.19566     0.043357      0.16885      0.12329
Ex25         COVAR   14713     -0.18506    -0.039131      0.21056      0.81027
Ex26         COVAR   14713      -0.4189    -0.088787      0.21402      0.97483
Ex27         COVAR   14713     -0.39087    -0.073985      0.26889      0.92696
Ex3          COVAR   14713     0.047811     0.010319      0.12844      0.35486
Ex4          COVAR   14713     -0.33049    -0.073669      0.14726      0.98758
Ex5          COVAR   14713     -0.31731    -0.068853      0.17335       0.9664
Ex6          COVAR   14713      0.13305     0.028936      0.17424      0.22256
Ex7          COVAR   14713    -0.070163    -0.016017      0.18504      0.64772
Ex8          COVAR   14713     -0.09937    -0.023466      0.12175      0.79279
Ex9          COVAR   14713      0.10694     0.024005      0.12956      0.20458
Inh1         COVAR   14713    0.0095027    0.0018986     0.098698      0.46165
Inh2         COVAR   14713     -0.07147    -0.014613      0.15204      0.68085
Inh3         COVAR   14713    0.0036006   0.00072431      0.13734      0.48954
Inh4         COVAR   14713     0.098534     0.021114      0.11903       0.2039
Inh5         COVAR   14713     0.085571     0.017989      0.13438      0.26213
Inh6         COVAR   14713      0.17931     0.035566      0.14886       0.1142
Inh7         COVAR   14713     0.076921     0.016117      0.12854      0.27478
MG           COVAR   14713      0.26067     0.053699      0.12114     0.015715
Oligo1       COVAR   14713      0.19825     0.037988      0.10271     0.026798
Oligo2       COVAR   14713     0.093257     0.020325     0.080057      0.12204
OPC          COVAR   14713      0.34826     0.072901      0.12754    0.0031655
