# TOTAL_GENES = 14047
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro        COVAR   14047  -0.00073555  -0.00020658     0.058776      0.50499
Ependy       COVAR   14047    -0.053389    -0.017502     0.038784      0.91567
Epith1       COVAR   14047    -0.012104   -0.0035227     0.044471      0.60725
Epith2       COVAR   14047    -0.010812   -0.0038735     0.035346      0.62015
GABA1        COVAR   14047     -0.01687   -0.0067231     0.030706      0.70863
GABA10       COVAR   14047   -0.0075778    -0.003711     0.045016      0.56684
GABA11       COVAR   14047   0.00077135   0.00023269     0.074286      0.49586
GABA12       COVAR   14047     -0.10754    -0.034527     0.099522      0.86005
GABA13       COVAR   14047    -0.072966    -0.024144      0.11861      0.73077
GABA14       COVAR   14047    -0.068211    -0.020509     0.099193      0.75416
GABA15       COVAR   14047     -0.10525    -0.037593     0.088334      0.88327
GABA16       COVAR   14047     -0.20784    -0.060541      0.10395      0.97721
GABA17       COVAR   14047     0.063936     0.025483     0.073423      0.19194
GABA18       COVAR   14047     0.041634     0.014716     0.057672      0.23518
GABA2        COVAR   14047     0.046535     0.018094     0.060906      0.22242
GABA3        COVAR   14047     -0.14336    -0.039652     0.082615      0.95865
GABA4        COVAR   14047     0.036193     0.013871     0.066923      0.29432
GABA5        COVAR   14047     0.098009     0.036345     0.079695       0.1094
GABA6        COVAR   14047    -0.089504    -0.025074     0.080575      0.86667
GABA7        COVAR   14047    -0.010901   -0.0032815     0.064997      0.56659
GABA8        COVAR   14047     0.047093     0.011994      0.11876      0.34585
GABA9        COVAR   14047     0.017711    0.0046459     0.080666      0.41311
Glu1         COVAR   14047    -0.045716    -0.012723     0.071531      0.73862
Glu10        COVAR   14047    -0.078808    -0.025686     0.076577      0.84828
Glu11        COVAR   14047     -0.13942    -0.043285     0.089335      0.94069
Glu12        COVAR   14047       -0.139    -0.047964     0.057051      0.99258
Glu13        COVAR   14047      0.14396     0.052515     0.058129    0.0066388
Glu14        COVAR   14047      0.15027     0.063556     0.068511     0.014147
Glu15        COVAR   14047   -0.0023209   -0.0010198     0.067298      0.51376
Glu2         COVAR   14047     0.010142    0.0031928     0.053889      0.42536
Glu3         COVAR   14047     0.015582    0.0049522     0.065238      0.40561
Glu4         COVAR   14047      0.11045     0.040658     0.067424     0.050712
Glu5         COVAR   14047     0.025639    0.0081776     0.084503      0.38079
Glu6         COVAR   14047       0.1317     0.056726     0.060876     0.015261
Glu7         COVAR   14047    -0.024263   -0.0078065     0.093797      0.60206
Glu8         COVAR   14047     -0.12597    -0.046059     0.092797      0.91268
Glu9         COVAR   14047    -0.054881    -0.019337     0.086223      0.73777
Hista        COVAR   14047      0.09367     0.035723     0.052333     0.036748
IMO          COVAR   14047     0.036058    0.0094009     0.055388      0.25753
Macro        COVAR   14047     0.036749     0.011075     0.040419      0.18163
Micro        COVAR   14047     -0.06253    -0.018727     0.071143      0.81027
MO           COVAR   14047      0.11597     0.030982     0.050507     0.010842
OPC          COVAR   14047      0.16547     0.033805     0.080829     0.020332
POPC         COVAR   14047     0.047013       0.0122     0.052008      0.18302
SCO          COVAR   14047    -0.033556   -0.0090792     0.049002      0.75326
Tany         COVAR   14047    -0.055394    -0.015528     0.056934       0.8347
