# MEAN_SAMPLE_SIZE = 15506
# TOTAL_GENES = 14723
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
astro           COVAR   14723     -0.12568    -0.022798     0.088509      0.92218
astro_gfap      COVAR   14723     -0.09841    -0.020002     0.071592      0.91536
astro_il18      COVAR   14723      -0.2134    -0.030066      0.11686      0.96607
astro_vegfa     COVAR   14723     -0.16315    -0.019365      0.13401      0.88828
cop             COVAR   14723     0.037179    0.0058168      0.11802      0.37637
endo            COVAR   14723     -0.10988    -0.028181     0.051629      0.98334
endo_bmx        COVAR   14723      -0.1316     -0.02277     0.086054       0.9369
int             COVAR   14723    -0.035231   -0.0097774     0.096294      0.64276
int_cort        COVAR   14723     -0.01592     -0.00576     0.045451      0.63693
int_kit         COVAR   14723     -0.03655    -0.013681      0.06292      0.71934
int_vip_npy     COVAR   14723    0.0023231   0.00073028     0.059407       0.4844
int_vip2        COVAR   14723      -0.1549    -0.039342      0.09635      0.94604
L23             COVAR   14723     0.089197     0.040381     0.061238      0.07263
L23_Calb1       COVAR   14723     -0.20426    -0.083267     0.078757      0.99524
L23_Ddn         COVAR   14723     0.040997     0.026197     0.041555      0.16193
L23_Npnt        COVAR   14723     0.077395     0.044283     0.047119     0.050249
L4_Kcnab3       COVAR   14723     0.051419      0.02328     0.062616      0.20578
L4_Plcxd2       COVAR   14723      0.15289     0.077833     0.051546     0.001511
L5              COVAR   14723    -0.007941    -0.004185     0.063206      0.54999
L6              COVAR   14723     0.056532     0.027723     0.055459      0.15403
mfol            COVAR   14723     0.078289     0.023193     0.052187     0.066795
mgl             COVAR   14723     -0.12305    -0.018823      0.12732      0.83308
mol             COVAR   14723      0.10517     0.016556       0.1173      0.18496
mol_apod        COVAR   14723     0.039935    0.0083411     0.077681       0.3036
nfol            COVAR   14723     0.054865      0.01436     0.056351      0.16513
opc             COVAR   14723    0.0096373    0.0012208     0.088471      0.45663
peric           COVAR   14723     -0.16782    -0.032772       0.0808      0.98109
pvm             COVAR   14723     -0.20578    -0.027969      0.11836      0.95893
rbc             COVAR   14723     -0.21211    -0.032172      0.15457        0.915
vsm             COVAR   14723     -0.26951    -0.038182      0.10748      0.99392
