# TOTAL_GENES = 14167
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE       TYPE  NGENES         BETA     BETA_STD           SE            P
Astro1        COVAR   14167      -0.0503    -0.018151     0.038484      0.90439
Astro2        COVAR   14167    -0.018076   -0.0059585     0.044074      0.65914
CA1Pyr1       COVAR   14167     0.050946     0.037049      0.03121     0.051314
CA1Pyr2       COVAR   14167    -0.062817    -0.045407     0.039474      0.94422
CA1PyrInt     COVAR   14167     0.087644     0.050069     0.037816     0.010242
CA2Pyr2       COVAR   14167    -0.009332   -0.0092127     0.028447      0.62856
Choroid       COVAR   14167    -0.021768   -0.0079145     0.043465      0.69175
ClauPyr       COVAR   14167     0.035353     0.034094     0.021186     0.047597
Epend         COVAR   14167    -0.046381     -0.01806     0.034577      0.91009
Int1          COVAR   14167   -0.0033066   -0.0024931     0.033959      0.53878
Int10         COVAR   14167     0.014333    0.0092034     0.039944      0.35987
Int11         COVAR   14167     0.023071     0.016006     0.034236      0.25019
Int12         COVAR   14167     0.042224     0.033661      0.03177     0.091923
Int13         COVAR   14167    -0.020451     -0.01419     0.040907      0.69143
Int14         COVAR   14167     0.030419      0.02422      0.03431      0.18766
Int15         COVAR   14167    -0.051465    -0.028124     0.049834      0.84912
Int16         COVAR   14167     0.019393     0.014989     0.034168      0.28516
Int2          COVAR   14167    -0.054497     -0.04452      0.03596      0.93516
Int3          COVAR   14167    -0.026186     -0.01925     0.034261      0.77765
Int4          COVAR   14167    -0.083763    -0.053907     0.048317       0.9585
Int5          COVAR   14167      0.01838      0.01573     0.031946      0.28254
Int6          COVAR   14167       0.0188     0.015026     0.036076      0.30114
Int7          COVAR   14167   -0.0014352   -0.0010495     0.037184      0.51539
Int8          COVAR   14167    -0.041181    -0.034597     0.033184      0.89268
Int9          COVAR   14167   -0.0028262   -0.0018422     0.036781      0.53062
Mgl1          COVAR   14167     0.021569     0.005761      0.04593      0.31932
Mgl2          COVAR   14167    -0.026095   -0.0065433     0.051254      0.69466
Oligo1        COVAR   14167    0.0095181    0.0049904     0.026443      0.35944
Oligo2        COVAR   14167     0.043463     0.018183     0.034735      0.10543
Oligo3        COVAR   14167     0.012795      0.00705     0.024415      0.30013
Oligo4        COVAR   14167     0.021143      0.01095     0.028369      0.22806
Oligo5        COVAR   14167    0.0066099    0.0028095     0.035875      0.42691
Oligo6        COVAR   14167    0.0074707    0.0029903      0.03861      0.42329
Peric         COVAR   14167     -0.10763    -0.029665      0.05087      0.98281
Pvm1          COVAR   14167    0.0091063     0.003013     0.037378      0.40376
Pvm2          COVAR   14167    -0.011054   -0.0029686     0.047325      0.59234
S1PyrDL       COVAR   14167    -0.085075    -0.061649     0.045298      0.96981
S1PyrL23      COVAR   14167      0.03404     0.025963     0.034221      0.15995
S1PyrL4       COVAR   14167     0.054171      0.04332      0.03196     0.045055
S1PyrL5       COVAR   14167     0.062646     0.059468     0.026938     0.010028
S1PyrL5a      COVAR   14167    -0.034917    -0.022156     0.044313      0.78463
S1PyrL6       COVAR   14167    -0.021188    -0.015776     0.038225      0.71031
S1PyrL6b      COVAR   14167    0.0010894   0.00085225     0.039404      0.48897
SubPyr        COVAR   14167    -0.022667      -0.0174     0.038236      0.72335
Vend1         COVAR   14167    -0.079741    -0.027237     0.037459      0.98335
Vend2         COVAR   14167     -0.06766    -0.018139     0.050248      0.91092
Vsmc          COVAR   14167     -0.05697    -0.015625     0.051327      0.86648
