# MEAN_SAMPLE_SIZE = 71796
# TOTAL_GENES = 15314
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
ENT9         COVAR   15314     0.064003     0.040334     0.026382    0.0076392
ENT8         COVAR   15314      0.03647     0.023386     0.031385      0.12262
ENT6         COVAR   15314     0.037716     0.019483     0.037235      0.15555
ENT5         COVAR   15314     0.039913     0.015769     0.043517      0.17953
ENT4         COVAR   15314     0.033536     0.014147     0.038446      0.19154
ENT7         COVAR   15314     0.047894     0.027804     0.031799     0.066022
ENT3         COVAR   15314     0.037444     0.017879      0.03639      0.15176
ENT2         COVAR   15314     0.039837     0.023727     0.030652     0.096873
ENT1         COVAR   15314     0.060666     0.035758     0.029997     0.021577
ENTG1        COVAR   15314    -0.015561   -0.0068673     0.025618       0.7282
ENTG4        COVAR   15314    -0.082249    -0.021346     0.046763      0.96069
ENTG2        COVAR   15314    -0.065621    -0.015762     0.048395      0.91243
ENTG3        COVAR   15314    -0.067598    -0.019058     0.041627      0.94779
ENTG6        COVAR   15314     -0.06556    -0.018985     0.041121      0.94456
ENTG5        COVAR   15314    -0.056627    -0.015651     0.043346      0.90428
ENTG7        COVAR   15314    -0.075077    -0.020233     0.045242      0.95148
ENMFB        COVAR   15314    -0.074578     -0.02967     0.029618      0.99409
MOL3         COVAR   15314    -0.013114   -0.0050605     0.033022      0.65436
MOL2         COVAR   15314     0.042211       0.0117     0.043782       0.1675
MFOL1        COVAR   15314      0.11137     0.029704     0.042035    0.0040342
MOL1         COVAR   15314     0.011689    0.0032157     0.045376      0.39836
MFOL2        COVAR   15314     0.029402    0.0097811     0.036589      0.21082
NFOL1        COVAR   15314     0.031503     0.010917      0.03512      0.18486
NFOL2        COVAR   15314     0.066883     0.020143     0.036473     0.033354
COP2         COVAR   15314     0.099817     0.022719     0.050778     0.024672
COP1         COVAR   15314    -0.010987   -0.0029297      0.04941      0.58798
HBSER2       COVAR   15314      0.17955       0.1057     0.030893   3.1505e-09
HBSER1       COVAR   15314      0.18611     0.099008     0.041737   4.1447e-06
HBSER3       COVAR   15314      0.21497       0.1065     0.044441   6.6511e-07
HBSER4       COVAR   15314       0.1969      0.10251     0.034374   5.1723e-09
