# MEAN_SAMPLE_SIZE = 71796
# TOTAL_GENES = 15314
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Cbnn         COVAR   15314     -0.18464    -0.020398      0.15569      0.88218
Chin         COVAR   15314     0.044936     0.017573     0.055662      0.20975
Chmn         COVAR   15314      0.21646      0.11759     0.035855     8.03e-10
Dggn         COVAR   15314     -0.15382    -0.036722     0.072968      0.98248
Dime         COVAR   15314      0.15026     0.056788     0.056101    0.0037038
Dimi         COVAR   15314      0.15308     0.054341     0.057429    0.0038482
Enne         COVAR   15314      0.10284     0.052622     0.039566    0.0046778
Gast         COVAR   15314    -0.037856   -0.0055871     0.086844      0.66855
Gcho         COVAR   15314     0.017491     0.005442     0.042376       0.3399
Gdgrg        COVAR   15314     -0.20371    -0.030238      0.09895      0.98023
Gent         COVAR   15314     -0.07965    -0.021207     0.050655      0.94206
Gepe         COVAR   15314    -0.011156   -0.0032845     0.042102      0.60449
Ghyp         COVAR   15314    -0.090131    -0.017008     0.068923       0.9045
Glnb         COVAR   15314    -0.057741     -0.01587      0.07508      0.77906
Goec         COVAR   15314     -0.17578    -0.030021     0.078522       0.9874
Goli         COVAR   15314     0.062318     0.018041     0.045433     0.085096
Gopc         COVAR   15314    -0.047619   -0.0094917     0.078847      0.72705
Gsat         COVAR   15314     -0.07037      -0.0197     0.047965      0.92882
Gsch         COVAR   15314     -0.07617    -0.023982     0.040789      0.96907
Gszrg        COVAR   15314     -0.26538    -0.035255      0.10996      0.99209
Hind         COVAR   15314      0.15745     0.073194     0.035327   4.1879e-06
Hpep         COVAR   15314     0.024924    0.0070488     0.081013      0.37917
Imgl         COVAR   15314     -0.11925    -0.018848     0.072547      0.94987
Ipvm         COVAR   15314    -0.052279    -0.008634     0.072769      0.76375
Ngnb         COVAR   15314     -0.28197    -0.057208     0.081146      0.99974
Obin         COVAR   15314    -0.070338    -0.011711      0.10599      0.74654
Psnf         COVAR   15314     0.044106     0.026538     0.030126     0.071602
Psnn         COVAR   15314    -0.013628   -0.0099234     0.024763      0.70895
Pspn         COVAR   15314    -0.010201    -0.005398     0.038159      0.60539
Scex         COVAR   15314     -0.19634      -0.0531     0.080808      0.99244
Scin         COVAR   15314    -0.051447    -0.016684     0.070295      0.76787
Sych         COVAR   15314    0.0072138    0.0058307     0.026045       0.3909
Syno         COVAR   15314    0.0019959    0.0015759     0.025414       0.4687
Tpre         COVAR   15314     0.062767     0.025754     0.045591     0.084306
Tpri         COVAR   15314     0.024347    0.0063526     0.062137      0.34759
Vend         COVAR   15314      -0.1364    -0.036423     0.049402      0.99712
Vlmc         COVAR   15314     -0.27329    -0.058284     0.066274      0.99998
Vper         COVAR   15314    -0.095527     -0.02769     0.046329      0.98038
Vsmc         COVAR   15314     -0.17867    -0.030276     0.078398      0.98866
