# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Bladder.Basal_epithelial_cell         COVAR   14594     0.064266     0.013752     0.074045      0.19272 Bladder.Basal_epithelial_cell
Bladder.Dendritic_cell_Cd74_...       COVAR   14594      0.15168     0.018847      0.11871      0.10069 Bladder.Dendritic_cell_Cd74_high
Bladder.Dendritic_cell_Lyz2_...       COVAR   14594      0.22213     0.032868      0.11176     0.023444 Bladder.Dendritic_cell_Lyz2_high
Bladder.Endothelial_cell_Ly6...       COVAR   14594     0.026743    0.0038901     0.092355      0.38608 Bladder.Endothelial_cell_Ly6c1_high
Bladder.Epithelial_cell_Gm23...       COVAR   14594      0.25745     0.031783       0.1066    0.0078735 Bladder.Epithelial_cell_Gm23935_high
Bladder.Epithelial_cell_Upk3...       COVAR   14594     0.057169    0.0086741     0.097549      0.27892 Bladder.Epithelial_cell_Upk3a_high
Bladder.Macrophage_Pf4_high           COVAR   14594      0.15114     0.020109     0.094844     0.055526 Bladder.Macrophage_Pf4_high
Bladder.Mesenchymal_stromal_...       COVAR   14594     -0.14273    -0.019386      0.10687      0.90915 Bladder.Mesenchymal_stromal_cell
Bladder.NK_cell                       COVAR   14594     -0.10412    -0.014028      0.11475      0.81787 Bladder.NK_cell
Bladder.Smooth_muscle_cell            COVAR   14594    -0.034932   -0.0044199      0.10697        0.628 Bladder.Smooth_muscle_cell
Bladder.Stromal_cell_Car3_hi...       COVAR   14594     -0.12591    -0.019737     0.091328      0.91598 Bladder.Stromal_cell_Car3_high
Bladder.Stromal_cell_Dpt_high         COVAR   14594     -0.13263    -0.020509     0.088937      0.93205 Bladder.Stromal_cell_Dpt_high
Bladder.Umbrella_cell                 COVAR   14594     0.042285      0.02039     0.031501     0.089752 Bladder.Umbrella_cell
Bladder.Urothelium                    COVAR   14594       0.0579     0.018079     0.049509      0.12112 Bladder.Urothelium
Bladder.Vascular_endothelial...       COVAR   14594    -0.045278   -0.0062189       0.1068      0.66419 Bladder.Vascular_endothelial_cell
Bladder.Vascular_smooth_musc...       COVAR   14594    -0.064194   -0.0094353     0.075132      0.80356 Bladder.Vascular_smooth_muscle_progenitor_cell
Bone_Marrow.B_cell                    COVAR   14594    -0.049388    -0.006458      0.13587      0.64188 Bone_Marrow.B_cell
Bone_Marrow.B_cell_Igkc_high          COVAR   14594   -0.0092564   -0.0012697     0.081752      0.54507 Bone_Marrow.B_cell_Igkc_high
Bone_Marrow.Basophil                  COVAR   14594     -0.10156     -0.01519      0.11821      0.80487 Bone_Marrow.Basophil
Bone_Marrow.Basophils                 COVAR   14594     -0.22114    -0.031061      0.13809      0.94534 Bone_Marrow.Basophils
Bone_Marrow.CXCL12.abundant_...       COVAR   14594     0.036622    0.0058173     0.090978      0.34365 Bone_Marrow.CXCL12.abundant_reticular_cell
Bone_Marrow.Dendritic_cell_S...       COVAR   14594      0.08592     0.013585     0.069907      0.10953 Bone_Marrow.Dendritic_cell_Siglech_high
Bone_Marrow.Endothelial_cells         COVAR   14594    -0.084778    -0.013173      0.10709      0.78572 Bone_Marrow.Endothelial_cells
Bone_Marrow.Endothelial_cell...       COVAR   14594     -0.12173    -0.014167      0.15273      0.78727 Bone_Marrow.Endothelial_cells_Ly6c1_high
Bone_Marrow.Eosinophil_proge...       COVAR   14594    -0.078325     -0.01051      0.10499      0.77217 Bone_Marrow.Eosinophil_progenitor_cell
Bone_Marrow.Eosinophils               COVAR   14594     -0.29235    -0.038309      0.11183      0.99552 Bone_Marrow.Eosinophils
Bone_Marrow.Erythroblast              COVAR   14594     0.016453    0.0023275      0.10539      0.43797 Bone_Marrow.Erythroblast
Bone_Marrow.Erythrocyte_prog...1      COVAR   14594    -0.028727    -0.005692     0.080566      0.63929 Bone_Marrow.Erythrocyte_progenitor_Car1_high
Bone_Marrow.Erythrocyte_prog...2      COVAR   14594     0.028399    0.0060465     0.065451      0.33218 Bone_Marrow.Erythrocyte_progenitor_Hba.a1_high
Bone_Marrow.Erythrocytes              COVAR   14594   -0.0076138   -0.0012859     0.087315      0.53474 Bone_Marrow.Erythrocytes
Bone_Marrow.Fibroblasts               COVAR   14594    -0.048959   -0.0069887      0.10548      0.67872 Bone_Marrow.Fibroblasts
Bone_Marrow.Granulocyte_mono...       COVAR   14594     -0.11585    -0.019455     0.082747      0.91923 Bone_Marrow.Granulocyte_monocyte_progenitors
Bone_Marrow.Hematopoietic_st...       COVAR   14594    -0.036998    -0.007554     0.065006      0.71536 Bone_Marrow.Hematopoietic_stem_progenitor_cell
Bone_Marrow.Macrophage_C1qc_...       COVAR   14594    -0.039212   -0.0049059      0.11173      0.63719 Bone_Marrow.Macrophage_C1qc_high
Bone_Marrow.Macrophage_Cd74_...       COVAR   14594    -0.023178   -0.0032969      0.10859      0.58451 Bone_Marrow.Macrophage_Cd74_high
Bone_Marrow.Macrophage_Ms4a6...       COVAR   14594      0.06269       0.0145      0.06165      0.15461 Bone_Marrow.Macrophage_Ms4a6c_high
Bone_Marrow.Macrophage_S100a...       COVAR   14594     0.097199     0.014154     0.095107       0.1534 Bone_Marrow.Macrophage_S100a4_high
Bone_Marrow.Megakaryocyte             COVAR   14594    -0.018581   -0.0038742     0.065409      0.61182 Bone_Marrow.Megakaryocyte
Bone_Marrow.Megakaryocyte_pr...       COVAR   14594    -0.039305   -0.0061373      0.10477      0.64622 Bone_Marrow.Megakaryocyte_progenitor_cell
Bone_Marrow.Monocyte_progeni...1      COVAR   14594    -0.044747   -0.0078573      0.11013      0.65775 Bone_Marrow.Monocyte_progenitor
Bone_Marrow.Monocyte_progeni...2      COVAR   14594    -0.047963    -0.010269     0.084351      0.71519 Bone_Marrow.Monocyte_progenitor_cell_Ctsg_high
Bone_Marrow.Monocyte_progeni...3      COVAR   14594      -0.1504     -0.02234      0.12062      0.89377 Bone_Marrow.Monocyte_progenitor_cell_Prtn3_high
Bone_Marrow.Monocyte_Prtn3_h...       COVAR   14594     0.023176      0.00911     0.032485      0.23779 Bone_Marrow.Monocyte_Prtn3_high
Bone_Marrow.MSC                       COVAR   14594     -0.07048   -0.0091771      0.11661      0.72721 Bone_Marrow.MSC
