# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Embryonic_Mesenchyme.Dendrit...      COVAR   14594      0.11388     0.015166      0.16554      0.24576 Embryonic_Mesenchyme.Dendritic_Cell
Embryonic_Mesenchyme.Endothe...      COVAR   14594    -0.063622   -0.0084894      0.10107      0.73548 Embryonic_Mesenchyme.Endothelial_Cell
Embryonic_Mesenchyme.Erythro...1     COVAR   14594     0.085204      0.01257      0.11926      0.23749 Embryonic_Mesenchyme.Erythroblast_Hbb.bs_high
Embryonic_Mesenchyme.Erythro...2     COVAR   14594    -0.096162    -0.020269     0.083229      0.87603 Embryonic_Mesenchyme.Erythroblast_Mt2_high
Embryonic_Mesenchyme.Erythro...3     COVAR   14594     -0.14259     -0.01731      0.12371      0.87546 Embryonic_Mesenchyme.Erythroid_Cell
Embryonic_Mesenchyme.Ganglio...1     COVAR   14594      0.12478     0.014641      0.14519      0.19507 Embryonic_Mesenchyme.Ganglion_cell_Cartpt_high
Embryonic_Mesenchyme.Ganglio...2     COVAR   14594      0.19355     0.024499      0.11746     0.049707 Embryonic_Mesenchyme.Ganglion_cell_Gal_high
Embryonic_Mesenchyme.Ganglio...3     COVAR   14594     0.076719    0.0073942      0.16384       0.3198 Embryonic_Mesenchyme.Ganglion_cell_Mapt_high
Embryonic_Mesenchyme.Lymphoi...      COVAR   14594     -0.22016    -0.031768      0.13676      0.94627 Embryonic_Mesenchyme.Lymphoid_progenitor_cell
Embryonic_Mesenchyme.Macroph...      COVAR   14594      0.35503     0.042915      0.16996     0.018367 Embryonic_Mesenchyme.Macrophage
Embryonic_Mesenchyme.Muscle          COVAR   14594     -0.25409    -0.032213      0.18727      0.91257 Embryonic_Mesenchyme.Muscle
Embryonic_Mesenchyme.Neuron_...1     COVAR   14594    -0.019407   -0.0016996      0.20176      0.53831 Embryonic_Mesenchyme.Neuron_Igfbpl1_high
Embryonic_Mesenchyme.Neuron_...2     COVAR   14594       0.1118     0.012388      0.15169      0.23057 Embryonic_Mesenchyme.Neuron_Isl1_high
Embryonic_Mesenchyme.Neuron_...3     COVAR   14594    0.0077416   0.00080535      0.15448      0.48002 Embryonic_Mesenchyme.Neuron_Npy_high
Embryonic_Mesenchyme.Neurona...      COVAR   14594    -0.039686   -0.0040271       0.1236      0.62593 Embryonic_Mesenchyme.Neuronal_Progenitors
Embryonic_Mesenchyme.Neutrop...      COVAR   14594    0.0051965    0.0010742     0.056096       0.4631 Embryonic_Mesenchyme.Neutrophil
Embryonic_Mesenchyme.Progeni...      COVAR   14594    -0.014104   -0.0021228      0.10595      0.55295 Embryonic_Mesenchyme.Progenitor_cell_Ptprcap_high
Embryonic_Mesenchyme.Reprodu...      COVAR   14594    0.0031358   0.00034927      0.14366      0.49129 Embryonic_Mesenchyme.Reproductive_tissues
Embryonic_Mesenchyme.Skeleta...      COVAR   14594      0.14527     0.017095      0.13394      0.13906 Embryonic_Mesenchyme.Skeletal_Muscle
Embryonic_Mesenchyme.Stromal...1     COVAR   14594     -0.34036     -0.03263      0.21543      0.94293 Embryonic_Mesenchyme.Stromal_Cell_Agtr2_high
Embryonic_Mesenchyme.Stromal...2     COVAR   14594     -0.18673    -0.019817      0.12501      0.93237 Embryonic_Mesenchyme.Stromal_Cell_Cldn11_high
Embryonic_Mesenchyme.Stromal...3     COVAR   14594     -0.37023    -0.041705      0.17379      0.98342 Embryonic_Mesenchyme.Stromal_Cell_Cnmd_high
Embryonic_Mesenchyme.Stromal...6     COVAR   14594     -0.24308    -0.022024      0.27139      0.81479 Embryonic_Mesenchyme.Stromal_cell_Cxcl12_high
Embryonic_Mesenchyme.Stromal...4     COVAR   14594     -0.28643    -0.031398       0.2032      0.92065 Embryonic_Mesenchyme.Stromal_Cell_Cxcl14_high
Embryonic_Mesenchyme.Stromal...5     COVAR   14594     -0.23854    -0.027029      0.19214      0.89277 Embryonic_Mesenchyme.Stromal_Cell_fabp7_high
