# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Involution.B_c...1      COVAR   14594      0.02384    0.0024028      0.12766      0.42593 Mammary_Gland_Involution.B_cell_Cd79a_high
Mammary_Gland_Involution.B_c...2      COVAR   14594     -0.13138    -0.014666      0.12024      0.86271 Mammary_Gland_Involution.B_cell_Jchain_high
Mammary_Gland_Involution.Den...1      COVAR   14594      0.17148     0.020511      0.10789     0.055997 Mammary_Gland_Involution.Dendritic_cell_Ccl22_high
Mammary_Gland_Involution.Den...2      COVAR   14594       0.1005     0.012644     0.095087      0.14529 Mammary_Gland_Involution.Dendritic_cell_Il1b_high
Mammary_Gland_Involution.Den...3      COVAR   14594     -0.11613     -0.01388     0.085278      0.91336 Mammary_Gland_Involution.Dendritic_cell_Siglech_high
Mammary_Gland_Involution.End...1      COVAR   14594     -0.03681   -0.0044418       0.1095      0.63162 Mammary_Gland_Involution.Endothelial_cell_Aqp1_high
Mammary_Gland_Involution.End...3      COVAR   14594     0.073319    0.0075487      0.13328      0.29112 Mammary_Gland_Involution.Endothelial_cell_Fabp4_high
Mammary_Gland_Involution.End...2      COVAR   14594     -0.10237    -0.014292     0.086557      0.88153 Mammary_Gland_Involution.Endothelial_cell_Fabp4.Aqp1_high
Mammary_Gland_Involution.End...4      COVAR   14594     -0.18425    -0.020797      0.10967      0.95351 Mammary_Gland_Involution.Endothelial_cell_Glycam1_high
Mammary_Gland_Involution.Lum...       COVAR   14594    -0.040933   -0.0049991      0.13607      0.61822 Mammary_Gland_Involution.Luminal_cell
Mammary_Gland_Involution.Mac...1      COVAR   14594      0.19981     0.022873      0.11889     0.046425 Mammary_Gland_Involution.Macrophage_Apoe_high
