# MEAN_SAMPLE_SIZE = 2613
# TOTAL_GENES = 14594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Calvaria.Dividng_ce...      COVAR   14594    0.0031758   0.00038568      0.12429      0.48981 Neonatal_Calvaria.Dividng_cell
Neonatal_Calvaria.Endothelia...      COVAR   14594    -0.075038    -0.008763       0.1281      0.72098 Neonatal_Calvaria.Endothelial_cell
Neonatal_Calvaria.Erythrobla...      COVAR   14594    -0.087335    -0.015218     0.066737      0.90466 Neonatal_Calvaria.Erythroblast
Neonatal_Calvaria.Granulocyt...      COVAR   14594     0.069645     0.009121      0.10672      0.25702 Neonatal_Calvaria.Granulocyte_monocyte_progenitor_cell
Neonatal_Calvaria.Mast_cell          COVAR   14594      0.13243     0.015279      0.14765      0.18489 Neonatal_Calvaria.Mast_cell
Neonatal_Calvaria.Muscle_cel...1     COVAR   14594     -0.14914    -0.017806       0.1172       0.8984 Neonatal_Calvaria.Muscle_cell_Actc1_high
Neonatal_Calvaria.Muscle_cel...2     COVAR   14594    -0.089998    -0.010617      0.12881      0.75763 Neonatal_Calvaria.Muscle_cell_Junb_high
Neonatal_Calvaria.Muscle_cel...3     COVAR   14594    0.0041285   0.00041624      0.13322      0.48764 Neonatal_Calvaria.Muscle_cell_Myl9_high
Neonatal_Calvaria.Neuron             COVAR   14594      0.14299     0.013883        0.182      0.21603 Neonatal_Calvaria.Neuron
Neonatal_Calvaria.Neutrophil         COVAR   14594    -0.099881    -0.011794      0.13395      0.77205 Neonatal_Calvaria.Neutrophil
Neonatal_Calvaria.Osteoblast.        COVAR   14594    -0.039028   -0.0043955       0.1499       0.6027 Neonatal_Calvaria.Osteoblast.
