# TOTAL_GENES = 14058
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Aorta.endothelial_cell               COVAR   14058   -0.0075935    -0.010531     0.012684       0.7253 Aorta.endothelial_cell
Aorta.erythrocyte                    COVAR   14058   -0.0013494  -0.00052758     0.034286       0.5157 Aorta.erythrocyte
Aorta.fibroblast                     COVAR   14058   0.00068433    0.0011712     0.011315      0.47589 Aorta.fibroblast
Aorta.professional_antigen_p...      COVAR   14058    0.0014965    0.0023798     0.015269      0.46096 Aorta.professional_antigen_presenting_cell
Bladder.bladder_cell                 COVAR   14058     -0.00568    -0.011961    0.0079904      0.76141 Bladder.bladder_cell
Bladder.bladder_urothelial_c...      COVAR   14058     0.005466     0.012919    0.0070815       0.2201 Bladder.bladder_urothelial_cell
Brain_Myeloid.macrophage             COVAR   14058     0.022162     0.032636     0.012621     0.039555 Brain_Myeloid.macrophage
Brain_Myeloid.microglial_cell        COVAR   14058     0.013743     0.018933     0.010359     0.092322 Brain_Myeloid.microglial_cell
Brain_Non.Myeloid.astrocyte_...      COVAR   14058     0.027014     0.038529    0.0089079    0.0012148 Brain_Non.Myeloid.astrocyte_of_the_cerebral_cortex
Brain_Non.Myeloid.Bergmann_g...      COVAR   14058     0.019944     0.032584    0.0078016     0.005294 Brain_Non.Myeloid.Bergmann_glial_cell
Brain_Non.Myeloid.brain_peri...      COVAR   14058    0.0080169     0.014982    0.0081066      0.16135 Brain_Non.Myeloid.brain_pericyte
Brain_Non.Myeloid.endothelia...      COVAR   14058    0.0079893     0.013316     0.010002      0.21221 Brain_Non.Myeloid.endothelial_cell
Brain_Non.Myeloid.neuron             COVAR   14058     0.035822     0.066613    0.0073133   4.8912e-07 Brain_Non.Myeloid.neuron
Brain_Non.Myeloid.oligodendr...1     COVAR   14058     0.035921     0.062396    0.0074699   7.6735e-07 Brain_Non.Myeloid.oligodendrocyte
Brain_Non.Myeloid.oligodendr...2     COVAR   14058     0.034657     0.067315    0.0069235   2.8178e-07 Brain_Non.Myeloid.oligodendrocyte_precursor_cell
Diaphragm.endothelial_cell           COVAR   14058   -0.0085589    -0.010047     0.012481      0.75357 Diaphragm.endothelial_cell
Diaphragm.lymphocyte                 COVAR   14058     -0.02277    -0.032155     0.013595      0.95301 Diaphragm.lymphocyte
Diaphragm.macrophage                 COVAR   14058    0.0086364     0.013372     0.010881      0.21368 Diaphragm.macrophage
Diaphragm.mesenchymal_stem_c...      COVAR   14058    -0.022056    -0.038058    0.0095642      0.98944 Diaphragm.mesenchymal_stem_cell
Diaphragm.skeletal_muscle_sa...      COVAR   14058    -0.036538    -0.048668     0.012254      0.99856 Diaphragm.skeletal_muscle_satellite_stem_cell
Fat.B_cell                           COVAR   14058    -0.017961    -0.022438      0.01429       0.8956 Fat.B_cell
Fat.endothelial_cell                 COVAR   14058   -0.0067622   -0.0093498     0.013156      0.69637 Fat.endothelial_cell
Fat.mesenchymal_stem_cell_of...      COVAR   14058    -0.011535    -0.021982    0.0090551      0.89863 Fat.mesenchymal_stem_cell_of_adipose
Fat.myeloid_cell                     COVAR   14058    0.0080563     0.012933     0.013785      0.27947 Fat.myeloid_cell
Fat.natural_killer_cell              COVAR   14058    -0.044549    -0.062286     0.012858      0.99973 Fat.natural_killer_cell
Fat.T_cell                           COVAR   14058      -0.0503    -0.072283     0.013482       0.9999 Fat.T_cell
Fat.unknown                          COVAR   14058    -0.010423    -0.016369     0.015946      0.74333 Fat.unknown
Heart.cardiac_muscle_cell            COVAR   14058    0.0086557      0.01619    0.0068766      0.10407 Heart.cardiac_muscle_cell
Heart.cardiac_neuron                 COVAR   14058     0.014118     0.022272    0.0091733     0.061913 Heart.cardiac_neuron
Heart.endocardial_cell               COVAR   14058   -0.0073778    -0.012412     0.010466      0.75957 Heart.endocardial_cell
Heart.endothelial_cell               COVAR   14058    -0.011086    -0.014814     0.012287      0.81653 Heart.endothelial_cell
Heart.fibroblast                     COVAR   14058    -0.017026    -0.028051     0.010446      0.94843 Heart.fibroblast
Heart.leukocyte                      COVAR   14058      0.02005     0.032898     0.012775      0.05829 Heart.leukocyte
Heart.myofibroblast_cell             COVAR   14058   0.00096193     0.001486     0.010229      0.46254 Heart.myofibroblast_cell
Heart.smooth_muscle_cell             COVAR   14058   -0.0011509   -0.0019049    0.0089533      0.55114 Heart.smooth_muscle_cell
Kidney.endothelial_cell              COVAR   14058    -0.011915    -0.015084     0.012949      0.82125 Kidney.endothelial_cell
Kidney.epithelial_cell_of_pr...      COVAR   14058   -0.0087265   -0.0093897     0.011466      0.77668 Kidney.epithelial_cell_of_proximal_tubule
Kidney.kidney_collecting_duc...      COVAR   14058  -0.00085377  -0.00078875      0.01486      0.52291 Kidney.kidney_collecting_duct_epithelial_cell
Kidney.macrophage                    COVAR   14058    0.0040526    0.0058089     0.011602      0.36343 Kidney.macrophage
Kidney.natural_killer_cell           COVAR   14058    -0.031514    -0.038549     0.013652       0.9895 Kidney.natural_killer_cell
Large_Intestine.Brush_cell_o...      COVAR   14058     0.011867     0.015469     0.010111      0.12029 Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine
Large_Intestine.enterocyte_o...      COVAR   14058  -0.00011266  -0.00019725    0.0074732      0.50601 Large_Intestine.enterocyte_of_epithelium_of_large_intestine
Large_Intestine.enteroendocr...      COVAR   14058      0.02807      0.03903     0.011393    0.0068792 Large_Intestine.enteroendocrine_cell
Large_Intestine.epithelial_c...      COVAR   14058   -0.0033057   -0.0063495    0.0086129      0.64944 Large_Intestine.epithelial_cell_of_large_intestine
Large_Intestine.large_intest...      COVAR   14058     0.003657    0.0077058    0.0073895      0.31034 Large_Intestine.large_intestine_goblet_cell
Limb_Muscle.B_cell                   COVAR   14058    -0.012632    -0.017137     0.013208      0.83057 Limb_Muscle.B_cell
Limb_Muscle.endothelial_cell         COVAR   14058   -0.0052562   -0.0068941     0.011426      0.67725 Limb_Muscle.endothelial_cell
Limb_Muscle.macrophage               COVAR   14058    0.0063899     0.010503     0.011866      0.29512 Limb_Muscle.macrophage
Limb_Muscle.mesenchymal_stem...      COVAR   14058     -0.01503    -0.027332    0.0090442      0.95171 Limb_Muscle.mesenchymal_stem_cell
Limb_Muscle.skeletal_muscle_...      COVAR   14058    -0.026185    -0.040835     0.010522      0.99358 Limb_Muscle.skeletal_muscle_satellite_cell
Limb_Muscle.T_cell                   COVAR   14058    -0.039189    -0.060782     0.011529      0.99966 Limb_Muscle.T_cell
Liver.B_cell                         COVAR   14058     -0.01714     -0.02272     0.013801      0.89286 Liver.B_cell
Liver.endothelial_cell_of_he...      COVAR   14058     0.005115    0.0078472    0.0095628      0.29637 Liver.endothelial_cell_of_hepatic_sinusoid
Liver.hepatocyte                     COVAR   14058   -0.0018636   -0.0034945    0.0064459      0.61375 Liver.hepatocyte
Liver.Kupffer_cell                   COVAR   14058     0.010818     0.013707     0.012404      0.19156 Liver.Kupffer_cell
Liver.natural_killer_cell            COVAR   14058    -0.020507    -0.033446      0.01141      0.96385 Liver.natural_killer_cell
Lung.B_cell                          COVAR   14058   -0.0072161   -0.0091777     0.013871      0.69855 Lung.B_cell
Lung.ciliated_columnar_cell_...      COVAR   14058    0.0066186     0.013423    0.0062766      0.14584 Lung.ciliated_columnar_cell_of_tracheobronchial_tree
Lung.classical_monocyte              COVAR   14058   -0.0030871   -0.0056546     0.010197      0.61895 Lung.classical_monocyte
Lung.epithelial_cell_of_lung         COVAR   14058     0.023549     0.040083     0.010247     0.010782 Lung.epithelial_cell_of_lung
Lung.leukocyte                       COVAR   14058     -0.02787    -0.030138     0.011516      0.99223 Lung.leukocyte
Lung.lung_endothelial_cell           COVAR   14058    0.0032679    0.0045781     0.011865       0.3915 Lung.lung_endothelial_cell
Lung.monocyte                        COVAR   14058    0.0071934     0.011016     0.010536       0.2474 Lung.monocyte
Lung.myeloid_cell                    COVAR   14058    0.0056407    0.0097909      0.01246      0.32538 Lung.myeloid_cell
Lung.natural_killer_cell             COVAR   14058    -0.033164    -0.047901     0.012745      0.99536 Lung.natural_killer_cell
Lung.stromal_cell                    COVAR   14058   -0.0043044   -0.0066632     0.010401       0.6605 Lung.stromal_cell
Lung.T_cell                          COVAR   14058    -0.051524     -0.07212     0.012895      0.99997 Lung.T_cell
Lung.unknown                         COVAR   14058     0.019157     0.013641     0.024508      0.21721 Lung.unknown
Mammary_Gland.basal_cell             COVAR   14058   -0.0054414    -0.011186    0.0083817      0.74189 Mammary_Gland.basal_cell
Mammary_Gland.endothelial_ce...      COVAR   14058    -0.005515   -0.0086273     0.010342      0.70307 Mammary_Gland.endothelial_cell
Mammary_Gland.luminal_epithe...      COVAR   14058     0.010101     0.019845     0.010124      0.15922 Mammary_Gland.luminal_epithelial_cell_of_mammary_gland
Mammary_Gland.stromal_cell           COVAR   14058    -0.015291    -0.028225    0.0089662      0.95592 Mammary_Gland.stromal_cell
Marrow.B_cell                        COVAR   14058    -0.017863    -0.035048      0.01055      0.95478 Marrow.B_cell
