Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
Allen_Human_LGN_level1	Non.Neuronal	17668	0.011003	0.016767	0.011324	0.16562	0.49686	1
Allen_Human_LGN_level1	GABAergic	17668	-0.0042929	-0.009189	0.014465	0.61668	1	1
Allen_Human_LGN_level1	Glutamatergic	17668	-0.012189	-0.029115	0.012953	0.82663	1	1
Allen_Human_LGN_level2	OPC_PDGFRA	17668	0.024009	0.039225	0.0095996	0.0061968	0.0743616	1
Allen_Human_LGN_level2	Astro_LGR6	17668	0.009956	0.017582	0.0079015	0.10384	1	1
Allen_Human_LGN_level2	LGN_Inh_TRPC4	17668	0.0055093	0.012168	0.012084	0.32422	1	1
Allen_Human_LGN_level2	Oligo_MAG	17668	0.0029076	0.0050439	0.0079341	0.35701	1	1
Allen_Human_LGN_level2	Astro_CPAMD8	17668	0.0014612	0.00235	0.0086684	0.43307	1	1
Allen_Human_LGN_level2	LGN_Inh_CTXN3	17668	0.00055636	0.0012408	0.011048	0.47992	1	1
Allen_Human_LGN_level2	LGN_Exc_PRKCG_GRB14	17668	-0.00064178	-0.0015183	0.0099408	0.52574	1	1
Allen_Human_LGN_level2	Micro_C1QB	17668	-0.0042346	-0.0054072	0.0090911	0.67932	1	1
Allen_Human_LGN_level2	LGN_Exc_BTNL9	17668	-0.0084322	-0.020276	0.010395	0.79137	1	1
Allen_Human_LGN_level2	LGN_Exc_PRKCG_BCHE	17668	-0.01051	-0.025057	0.010316	0.84584	1	1
Allen_Human_LGN_level2	LGN_Inh_NTRK1	17668	-0.014773	-0.034275	0.010386	0.92255	1	1
Allen_Human_LGN_level2	LGN_Inh_LAMP5	17668	-0.01445	-0.031537	0.0086429	0.95271	1	1
Allen_Human_MTG_level1	Non.neuronal	17668	0.027372	0.038329	0.013387	0.020452	0.061356	1
Allen_Human_MTG_level1	GABAergic	17668	-0.015736	-0.030837	0.020145	0.78263	1	1
Allen_Human_MTG_level1	Glutamatergic	17668	-0.028654	-0.063425	0.015869	0.96451	1	1
Allen_Human_MTG_level2	OPC_L1.6_PDGFRA	17668	0.036751	0.058559	0.0098275	9.2463e-05	0.006934725	0.51594354
Allen_Human_MTG_level2	Micro_L1.3_TYROBP	17668	0.020708	0.026939	0.008399	0.0068456	0.51342	1
Allen_Human_MTG_level2	Oligo_L1.6_OPALIN	17668	0.018389	0.027233	0.0080731	0.011374	0.85305	1
