Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_all_level1	PC.Neuron	1	14974	NA	NA	NA	NA	6.793e-07	NA
DropViz_all_level1	FC.Neuron	1	14974	NA	NA	NA	NA	1.3787e-06	NA
DropViz_all_level1	GP.Neuron	2	14974	0.042242	0.11098	0.016593	0.0054562	5.2163e-08	0.310754137850349
DropViz_all_level1	FC.Neuron	2	14974	-0.0068159	-0.01806	0.016715	0.65827	1.3787e-06	0.0309862640481301
DropViz_all_level1	SN.Neuron	3	14974	0.052508	0.13779	0.013795	7.0825e-05	1.2489e-09	0.466089325709145
DropViz_all_level1	FC.Neuron	3	14974	-0.013116	-0.034752	0.013684	0.83108	1.3787e-06	0.0137115868044039
DropViz_all_level1	TH.Neuron	4	14974	0.032959	0.085606	0.014489	0.011469	9.8434e-08	0.276939437774035
DropViz_all_level1	FC.Neuron	4	14974	0.0041651	0.011036	0.014023	0.38323	1.3787e-06	0.0710755656714149
DropViz_all_level1	GP.Neuron	5	14974	0.033978	0.089272	0.01523	0.012846	5.2163e-08	0.259690544539525
DropViz_all_level1	PC.Neuron	5	14974	0.0022869	0.0061501	0.014941	0.43918	6.793e-07	0.0579379078217404
DropViz_all_level1	SN.Neuron	6	14974	0.045345	0.11899	0.012897	0.00021971	1.2489e-09	0.410867809605477
DropViz_all_level1	PC.Neuron	6	14974	-0.0049086	-0.013201	0.012458	0.65321	6.793e-07	0.0299852501286926
DropViz_all_level1	TH.Neuron	7	14974	0.028483	0.073981	0.013901	0.020241	9.8434e-08	0.241730143898151
DropViz_all_level1	PC.Neuron	7	14974	0.0090075	0.024224	0.013102	0.24589	6.793e-07	0.098778407788303
DropViz_all_level1	SN.Neuron	8	14974	0.05072	0.1331	0.018434	0.0029706	1.2489e-09	0.283839352599842
DropViz_all_level1	GP.Neuron	8	14974	-0.010266	-0.026973	0.018151	0.71416	5.2163e-08	0.0200757595652359
DropViz_all_level1	GP.Neuron	9	14974	0.023001	0.060431	0.016193	0.077751	5.2163e-08	0.152320368243844
DropViz_all_level1	TH.Neuron	9	14974	0.014973	0.038891	0.016855	0.18718	9.8434e-08	0.103861228887575
DropViz_all_level1	SN.Neuron	10	14974	0.056875	0.14924	0.018635	0.0011385	1.2489e-09	0.330620105784755
DropViz_all_level1	TH.Neuron	10	14974	-0.017455	-0.045336	0.019099	0.81961	9.8434e-08	0.0123297475246186
DropViz_all_level2	SN.Neuron_Th_Cyp26b1.4_3	11	14974	0.023784	0.066695	0.009544	0.0063552	3.0139e-07	0.336898356540351
DropViz_all_level2	SN.Neuron_Th_Vcan.4_5	11	14974	0.022109	0.061531	0.0095824	0.010526	4.7749e-07	0.312881736811761
DropViz_all_level2	SN.Neuron_Th_Cyp26b1.4_3	12	14974	0.0247	0.069262	0.0093733	0.0042097	3.0139e-07	0.364329978890545
DropViz_all_level2	SN.Neuron_Th_Nefl.4_7	12	14974	0.02107	0.058402	0.0093256	0.011937	7.8307e-07	0.314943007227753
DropViz_all_level2	SN.Neuron_Th_Aldh1a1.4_8	13	14974	0.027049	0.074499	0.01038	0.0045876	9.2536e-08	0.332459163847095
