Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj	cond_state	cond_cell_type	step3
DropViz_all_level1	SN.Neuron	14974	0.041048	0.10771	0.006881	1.2489e-09	1.099032e-07	6.968862e-06	partial-joint;partial-joint;partial-joint;partial-joint	FC.Neuron;PC.Neuron;GP.Neuron;TH.Neuron	1
DropViz_all_level1	GP.Neuron	14974	0.036066	0.094756	0.0067771	5.2163e-08	4.590344e-06	0.00029106954	joint-drop	SN.Neuron	0
DropViz_all_level1	TH.Neuron	14974	0.036718	0.095369	0.0070546	9.8434e-08	8.662192e-06	0.00054926172	joint-drop	SN.Neuron	0
DropViz_all_level1	PC.Neuron	14974	0.032139	0.086433	0.0066499	6.793e-07	5.97784e-05	0.003790494	joint-drop	SN.Neuron	0
DropViz_all_level1	FC.Neuron	14974	0.032027	0.084858	0.0068288	1.3787e-06	0.0001213256	0.007693146	joint-drop	SN.Neuron	0
DropViz_all_level2	SN.Neuron_Th_Grin2c.4_9	14974	0.048517	0.13306	0.0079496	5.3368e-10	3.015292e-07	2.9779344e-06	partial-joint;partial-joint;partial-joint;partial-joint	SN.Neuron_Th_Cyp26b1.4_3;SN.Neuron_Th_Vcan.4_5;SN.Neuron_Th_Nefl.4_7;SN.Neuron_Th_Aldh1a1.4_8	1
DropViz_all_level2	SN.Neuron_Th_Aldh1a1.4_8	14974	0.041304	0.11376	0.0079183	9.2536e-08	5.228284e-05	0.00051635088	joint-drop	SN.Neuron_Th_Grin2c.4_9	0
DropViz_all_level2	SN.Neuron_Th_Cyp26b1.4_3	14974	0.03742	0.10493	0.0074952	3.0139e-07	0.00017028535	0.0016817562	joint-drop	SN.Neuron_Th_Grin2c.4_9	0
DropViz_all_level2	SN.Neuron_Th_Vcan.4_5	14974	0.036897	0.10268	0.0075256	4.7749e-07	0.00026978185	0.0026643942	joint-drop	SN.Neuron_Th_Grin2c.4_9	0
DropViz_all_level2	SN.Neuron_Th_Nefl.4_7	14974	0.035831	0.099313	0.0074576	7.8307e-07	0.00044243455	0.0043695306	joint-drop	SN.Neuron_Th_Grin2c.4_9	0
DropViz_CB_level1	Neuron	14974	0.031711	0.085664	0.0063279	2.7357e-07	2.46213e-06	0.0015265206	single	NA	1
DropViz_ENT_level1	Neuron	14974	0.029129	0.076233	0.0063685	2.4132e-06	1.68924e-05	0.013465656	single	NA	1
DropViz_FC_level1	Neuron	14974	0.03374	0.089399	0.0075488	3.9474e-06	3.55266e-05	0.022026492	single	NA	1
DropViz_GP_level1	Neuron	14974	0.032995	0.086687	0.0065275	2.182e-07	2.4002e-06	0.001217556	single	NA	1
DropViz_HC_level1	Neuron	14974	0.032909	0.088486	0.0070317	1.4467e-06	1.73604e-05	0.008072586	single	NA	1
DropViz_PC_level1	Neuron	14974	0.032371	0.087056	0.0074776	7.539e-06	6.7851e-05	0.04206762	single	NA	1
DropViz_SN_level1	Neuron	14974	0.037102	0.097358	0.0063644	2.8375e-09	2.8375e-08	1.583325e-05	single	NA	1
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	14974	0.046153	0.12658	0.0083186	1.4691e-08	8.66769e-07	8.197578e-05	partial-joint;partial-joint;partial-joint	Neuron_Th_Cyp26b1.4_3;Neuron_Th_Vcan.4_5;Neuron_Th_Aldh1a1.4_8	1
DropViz_SN_level2	Neuron_Th_Aldh1a1.4_8	14974	0.038068	0.10485	0.0082509	1.9935e-06	0.0001176165	0.01112373	joint-drop	Neuron_Th_Grin2c.4_9	0
DropViz_SN_level2	Neuron_Th_Cyp26b1.4_3	14974	0.034376	0.096395	0.0078068	5.3678e-06	0.0003167002	0.029952324	joint-drop	Neuron_Th_Grin2c.4_9	0
