COVAR,OBS_GENES,BETA,BETA_STD,SE,P,Source,Dataset
Adipose_Subcutaneous,17229,-0.0453,-0.137,0.0165,0.99704,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Adipose_Visceral_Omentum,17229,-0.0608,-0.179,0.0171,0.99981,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Adrenal_Gland,17229,0.00976,0.0278,0.0143,0.24728,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Artery_Aorta,17229,-0.0423,-0.129,0.0154,0.99703,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Artery_Coronary,17229,-0.0575,-0.174,0.0187,0.99892,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Artery_Tibial,17229,-0.0424,-0.13,0.0151,0.99747,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Bladder,17229,-0.0355,-0.107,0.0183,0.97376,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Amygdala,17229,0.0381,0.0973,0.0106,0.00016895,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Anterior_cingulate_cortex_BA24,17229,0.0408,0.108,0.00995,2.0308e-05,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Caudate_basal_ganglia,17229,0.0388,0.101,0.0109,0.00017761,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Cerebellar_Hemisphere,17229,0.0474,0.141,0.00809,2.389e-09,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Cerebellum,17229,0.0492,0.146,0.00841,2.4116e-09,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Cortex,17229,0.0428,0.118,0.00963,4.3237e-06,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Frontal_Cortex_BA9,17229,0.0425,0.12,0.00921,1.9799e-06,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Hippocampus,17229,0.0404,0.103,0.0109,0.00010695,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Hypothalamus,17229,0.0469,0.126,0.0111,1.1194e-05,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Nucleus_accumbens_basal_ganglia,17229,0.0413,0.109,0.0103,2.8029e-05,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
Brain_Putamen_basal_ganglia,17229,0.0353,0.0893,0.0107,0.00049854,magma_exp_gtex_v7_ts_avg_log2TPM.gcov.out,GTEx V7
