qtl_id,Locus.GWAS,Study_id,Sample,eGene,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,Study,Tissue,Tissue_group,System
Alasoo_2018.macrophage_IFNg,BIN3,GWAS,macrophage_IFNg,C8orf58,4.49586699150377e-05,0.000178000375377767,0.020708146363409,0.0810897182584535,0.897979176332845,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_IFNg,GPNMB,GWAS,macrophage_IFNg,NUPL2,6.85813209861631e-23,1.01648596743268e-21,0.00518719382739481,0.0759637431659195,0.918849063006682,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_IFNg,IP6K2,GWAS,macrophage_IFNg,WDR6,6.31360870997698e-10,6.16436370858736e-06,1.37264477488407e-05,0.133152907371631,0.86682720118555,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_IFNg,NUCKS1,GWAS,macrophage_IFNg,RAB7L1,1.81944228504034e-24,1.05194715023588e-24,0.126997099694892,0.0726255500400632,0.800377350265046,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_IFNg+Salmonella,BIN3,GWAS,macrophage_IFNg+Salmonella,C8orf58,7.46045807935568e-08,0.000135586227469662,3.436317358528e-05,0.0615132515405828,0.938316724453783,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_IFNg+Salmonella,IP6K2,GWAS,macrophage_IFNg+Salmonella,WDR6,2.64873208202151e-07,4.14659127994476e-06,0.00575862144689019,0.0892462542479316,0.90499071284069,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_Salmonella,BIN3,GWAS,macrophage_Salmonella,C8orf58,0.000187954640458817,0.000211203723861382,0.0865726724491295,0.0964647314600933,0.816563437726457,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_Salmonella,IP6K2,GWAS,macrophage_Salmonella,WDR6,1.55107341968226e-08,4.36235832624089e-06,0.000337219635043898,0.0939365250490081,0.905721877446886,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_Salmonella,NUCKS1,GWAS,macrophage_Salmonella,RAB7L1,2.25162047942885e-25,7.17220106737816e-25,0.0157163144361431,0.0491268176984479,0.935156867865406,Alasoo_2018,macrophage,macrophage,Blood
Alasoo_2018.macrophage_Salmonella,NUCKS1,GWAS,macrophage_Salmonella,SLC41A1,3.14621901110033e-25,1.65841623956201e-24,0.0219606135737257,0.114894334172549,0.863145052253727,Alasoo_2018,macrophage,macrophage,Blood
