Type_ID,Type,ID,Name,Zscore,Gene,pseudo
GO_GO:0005515,GO,GO:0005515,protein binding,1,CACNA1C,1
GO_GO:0005737,GO,GO:0005737,cytoplasm,0.717862797764813,CACNA1C,1
GO_GO:0010628,GO,GO:0010628,positive regulation of gene expression,0.516545292755191,IAPP,1
GO_GO:0042802,GO,GO:0042802,identical protein binding,0.515874253934005,CNR1,1
GO_GO:0005829,GO,GO:0005829,cytosol,0.500040575038541,DAPK1,1
GO_GO:0005886,GO,GO:0005886,plasma membrane,0.43340918462122,CACNA1C,1
GO_GO:0032991,GO,GO:0032991,protein-containing complex,0.420549395374468,CACNA1C,1
GO_GO:0043066,GO,GO:0043066,negative regulation of apoptotic process,0.402153098813453,DAPK1,1
GO_GO:0043065,GO,GO:0043065,positive regulation of apoptotic process,0.394144204278029,CNR1,1
GO_GO:0044877,GO,GO:0044877,protein-containing complex binding,0.385348607782505,CNTF,1
GO_GO:0016020,GO,GO:0016020,membrane,0.384223236485064,CACNA1C,1
GO_GO:0005739,GO,GO:0005739,mitochondrion,0.362913617568863,CNR1,1
GO_GO:0045944,GO,GO:0045944,positive regulation of transcription by RNA polymerase II,0.350208498316127,ISL1,1
GO_GO:0048471,GO,GO:0048471,perinuclear region of cytoplasm,0.349343664178567,ATG7,1
GO_GO:0009986,GO,GO:0009986,cell surface,0.344349296464904,CACNA1C,1
GO_GO:0019899,GO,GO:0019899,enzyme binding,0.329655074550022,CACNA1C,1
GO_GO:0008284,GO,GO:0008284,positive regulation of cell population proliferation,0.320080209128067,CNTF,1
GO_GO:0001934,GO,GO:0001934,positive regulation of protein phosphorylation,0.290132594667572,NGF,1
GO_GO:0031625,GO,GO:0031625,ubiquitin protein ligase binding,0.27279413790277,NGFR,1
GO_GO:0019901,GO,GO:0019901,protein kinase binding,0.266532089736079,GSTM1,1
GO_GO:0005515,GO,GO:0005515,protein binding,1,CACNA1D,1
GO_GO:0005737,GO,GO:0005737,cytoplasm,0.717862797764813,CACNA1D,1
GO_GO:0010628,GO,GO:0010628,positive regulation of gene expression,0.516545292755191,CNTF,1
GO_GO:0042802,GO,GO:0042802,identical protein binding,0.515874253934005,IAPP,1
GO_GO:0005829,GO,GO:0005829,cytosol,0.500040575038541,GIGYF2,1
GO_GO:0005886,GO,GO:0005886,plasma membrane,0.43340918462122,CACNA1D,1
GO_GO:0032991,GO,GO:0032991,protein-containing complex,0.420549395374468,NCLN,1
GO_GO:0043066,GO,GO:0043066,negative regulation of apoptotic process,0.402153098813453,ATG7,1
GO_GO:0043065,GO,GO:0043065,positive regulation of apoptotic process,0.394144204278029,DAPK1,1
GO_GO:0044877,GO,GO:0044877,protein-containing complex binding,0.385348607782505,APEX1,1
GO_GO:0016020,GO,GO:0016020,membrane,0.384223236485064,CACNA1D,1
GO_GO:0005739,GO,GO:0005739,mitochondrion,0.362913617568863,TOMM20L,1
GO_GO:0045944,GO,GO:0045944,positive regulation of transcription by RNA polymerase II,0.350208498316127,NR4A1,1
GO_GO:0048471,GO,GO:0048471,perinuclear region of cytoplasm,0.349343664178567,HMOX1,1
GO_GO:0009986,GO,GO:0009986,cell surface,0.344349296464904,CACNA1D,1
GO_GO:0019899,GO,GO:0019899,enzyme binding,0.329655074550022,HMOX1,1
GO_GO:0008284,GO,GO:0008284,positive regulation of cell population proliferation,0.320080209128067,ISL1,1
GO_GO:0001934,GO,GO:0001934,positive regulation of protein phosphorylation,0.290132594667572,HGF,1
GO_GO:0031625,GO,GO:0031625,ubiquitin protein ligase binding,0.27279413790277,SNCAIP,1
GO_GO:0019901,GO,GO:0019901,protein kinase binding,0.266532089736079,TRAF6,1
GO_GO:0005515,GO,GO:0005515,protein binding,1,GIGYF2,1
GO_GO:0005737,GO,GO:0005737,cytoplasm,0.717862797764813,GIGYF2,1
GO_GO:0010628,GO,GO:0010628,positive regulation of gene expression,0.516545292755191,P2RX7,1
