Sheet,Tissue,Sig,Reference,Source,Dataset
Bryois2020,Brain - Substantia nigra,4.4752e-05,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Spinal cord (cervical c-1),0.0011351,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Frontal Cortex (BA9),0.0113275517,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cerebellum,0.01780230164,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cortex,0.01886105986,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Hippocampus,0.019117,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Spinal cord (cervical c-1),0.02531417661,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cerebellar Hemisphere,0.02808939336,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Frontal Cortex (BA9),0.028206,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Hypothalamus,0.03124970995,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Anterior cingulate cortex (BA24),0.03136131869,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Amygdala,0.033746,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Hypothalamus,0.037878,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Caudate (basal ganglia),0.03806,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Substantia nigra,0.03900425493,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cerebellar Hemisphere,0.042687,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Muscle,0.043209,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Putamen (basal ganglia),0.045554,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cortex,0.059906,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Hippocampus,0.06228036684,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Pituitary,0.07283910891,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Anterior cingulate cortex (BA24),0.073701,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Cerebellum,0.08923,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Nucleus accumbens (basal ganglia),0.1089907379,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Amygdala,0.1110458105,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Blood,0.1207978506,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Esophagus,0.1221054332,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Pituitary,0.14247,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Small Intestine,0.1742495931,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Nucleus accumbens (basal ganglia),0.17844,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Salivary Gland,0.1863809352,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Nerve,0.2225933041,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Adipose Tissue,0.2229634288,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Lung,0.261030067,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Stomach,0.265,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Muscle,0.286785516,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Colon,0.288595714,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Vagina,0.3149623399,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Stomach,0.3656153981,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Nerve,0.37798,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Breast,0.4105128314,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Liver,0.41336,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Caudate (basal ganglia),0.4214635609,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Thyroid,0.4613743508,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Heart,0.4848,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Uterus,0.49069,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Spleen,0.4989639422,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Pancreas,0.51421,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Thyroid,0.52535,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Uterus,0.5365179497,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Adrenal Gland,0.58907,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Brain - Putamen (basal ganglia),0.6083785968,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Ovary,0.62623,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Heart,0.6319399421,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Blood Vessel,0.64702,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Breast,0.67017,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Pancreas,0.6996796218,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Adipose Tissue,0.72478,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Blood,0.77697,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Spleen,0.79123,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Blood Vessel,0.8014748176,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Adrenal Gland,0.8438283081,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Salivary Gland,0.85472,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Small Intestine,0.8803,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Liver,0.8820106976,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Esophagus,0.91891,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Prostate,0.93541,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Prostate,0.9518867981,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Skin,0.95453,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Vagina,0.95919,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Skin,0.9637277262,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Colon,0.98668,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Ovary,0.9915809,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Bryois2020,Lung,0.99613,"Bryois et al, 2020 (Nature Genetics)",Supplementary Table 1,
Reynolds2019,Spinal cord (cervical c-1),3.8e-05,Reynolds et al. 2019 (npj Parkinson's Disease),Supplementary Table 1 (Figure2A),GTEx V6P bulk-RNA-seq
