Gene,Chr,"Gene
 Start",Gene End,Tissue_abbrev,Tissue,Best eQTL,"TWAS
 Z-score","TWAS
 P-value","Permutation
 P-value",Dataset,Sig,Reference,Source,Group
ARL17A,chr17,46516702,46579682,ACC,Anterior cingulate cortex BA24,rs35937770,-7.84,4.55e-15,0.0119,GTEx V8,0.0119,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,AMY,Amygdala,rs17689471,-9.3,1.44e-20,0.0035,GTEx V8,0.0035,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,CBG,Caudate basal ganglia,rs17762769,-6.84,8.02e-12,0.0254,GTEx V8,0.0254,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,CEH,Cerebellar hemisphere,rs8072451,-8.38,5.18e-17,0.0078,GTEx V8,0.0078,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,CER,Cerebellum,rs17689471,-8.38,5.2e-17,0.0158,GTEx V8,0.0158,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,COR,Cortex,rs199456,-8.95,3.48e-19,0.0043,GTEx V8,0.0043,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,FRO,Frontal cortex BA9,rs17689918,-8.85,8.41e-19,0.0063,GTEx V8,0.0063,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,HIP,Hippocampus,rs17689918,-7.18,6.83e-13,0.0577,GTEx V8,0.0577,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,HYP,Hypothalamus,rs199536,-8.81,1.22e-18,0.0033,GTEx V8,0.0033,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,NAB,Nucleus accumbens basal ganglia,rs199533,-9.12,7.74e-20,0.0075,GTEx V8,0.0075,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
ARL17A,chr17,46516702,46579682,PBG,Putamen basal ganglia,rs17762769,-9.31,1.33e-20,0.0025,GTEx V8,0.0025,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
CCDC189,chr16,30757423,30762710,COR,Cortex,rs4889490,5.91,3.35e-09,0.0784,GTEx V8,0.0784,"(Yao et al. 2021, npj Parkinson's Disease)",Supplementary Table 2,brain
